//道具名称
ShortSword	遥远之东方青铜剑
MothAxe	夜蛾之目
ShortJavelin	短标枪
Javelin	标枪
ThrowingSpear	普及型投掷枪
PitchFork	投掷叉
HyperionJavelin	亥伯龙标枪
MatriarchalJavelin	女族长标枪
GhostJavelin	赫梯投标
AmazonJavelin	柏柏尔标枪
DragonsBoneJavelin	龙骨针
StygianJavelin	幽暗之箭
PicusJavelin	啄木鸟之舌
JawFork	锹甲虫之颚
ShortBow	短弓
HuntersBow	猎弓
LongBow	普及型长弓
CompositeBow	合成弓
ShadowBow	影之弓
FastBow	速射弓
LongHardBow	高级硬木弓
AmazonBow	克里特牛角弓
LongWarBow	水鸟
DeathBow	毒龙之喷
FalconBow	猎隼之翼
MyotisBow	蝙蝠之震荡波
SmallShield	小盾
WoodenShield	岑木盾
RoundBronzeShield	圆铜盾
LargeShield	复合大盾
SpikedShield	刺盾
KiteShield	亚述凸面盾
TowerShield	塔盾
GiantShield	腓尼基步兵盾
SafetyShield	侧翼守护之盾
AncientShield	萨蒂洛斯羊首盾
SacredShield	鱼鳞面纹
NeoShield	黄金雄狮之守护
LeatherArmor	皮甲
HardLeatherArmor	硬皮铠
StuddedLeather	镶嵌甲
SpikedLeather	厚皮钉甲
BreastPlate	胸甲
ChainMail	锁子甲
PlateMail	罗里卡督军兜甲
SillerPlate	秘银圣衣
GreatBattlePlate	精钢战铠
DragonsLeatherArmor	魔羯衣
GodsArmyLoricae	天兵之全副武装
SunshineLoricae	重装阳炎铠
GMArmor	GM铠甲
HempCloth	麻布衫
CottonCloth	棉布服
SilkCloth	赛里斯短衫
WeirdCloth	符文锦衣
GhostCloth	树精皮服
ScholarsCloth	腓尼基紫色布衫
WizardsCloth	神官服
EldersCloth	吟游者短袍
SacrificeCloth	夜宴礼服
GuardCloth	阿拉克涅彩衣
OracleVestment	神使之紧身坎肩
RagingFireCloth	烈火裳
Helm	铜盔
FullHelm	角斗士之盔
GreatHelm	红色马尾头盔
WarriorHelmet	督军头盔
GreatGuard	金刚鹦鹉头盔
GodsArmyHelmet	天兵之野蛮护面
SunshineHelmet	重装阳炎盔
Cap	皮帽
Mask	搞怪面具
Headgear	漂亮头饰
Crown	首领冠
EldersCap	贤者高帽
OracleCap	神使之智慧头带
RagingFireCap	烈火冠
Olive	橄榄枝头环
Laurel	桂冠
Corolla	花冠
HeadHand	未名金属头环
GemHand	绿宝石帽
FlashHand	霹雳之环
SacredHand	圣迹之环
GMHand	GM头环
LeatherSleeves	皮护肘
BronzeSleeves	铜护肘
SillerSleeves	秘银护肘
PlatemailSleeves	精钢护肘
DragonSleeves	龙骨护肘
GodsArmySleeves	天兵护臂
SunshineSleeves	阳炎护肘
GMSleeves	GM护肘
LeatherLeggins	皮护胫
BronzeLeggins	铜护胫
SillerLeggins	秘银护胫
PlatemailLeggins	精钢护胫
DragonLeggins	龙骨护胫
GodsArmyLeggins	天兵护腿
SunshineLeggins	阳炎护胫
GMLeggins	GM护胫
Gloves	亚麻手套
LeatherGloves	轻皮手套
HardLeatherGloves	重皮手套
RingmailGloves	轻型锁链手套
BattleGauntlets	搏击兵手套
SliverGauntlets	秘银手套
GreatGauntlets	精钢手套
WeirdGloves	符文手套
DragonGauntlets	白骨手套
WarGauntlets	赤铜拳套
GodsArmyGauntlets	天兵护掌
SunshineGauntlets	阳炎手套
Sandal	草鞋
Boots	布鞋
HeavyBoots	军用重鞋
RingmailBoots	轻型锁链鞋
BattleGreaves	铁片鞋
SliverGreaves	秘银靴子
GreatGreaves	精钢鞋
WeirdGreaves	符文轻鞋
DragonGreaves	龙骨鞋
WarGreaves	赤铜尖角鞋
GodsArmyGreaves	天兵靴子
SunshineGreaves	阳炎靴
GMGreaves	GM鞋子
FlaxGirdle	亚麻布带
LeatherGirdle	皮腰带
BronzeGirdle	铜腰带
CrocodileGirdle	鳄鱼皮带
DragonGirdle	龙皮带
GodsArmyGirdle	天兵腹带
SunshineGirdle	阳炎腰带
GMGirdle	GM腰带
Pisces	双鱼座吊坠
Aries	白羊座吊坠
Cancer	巨蟹座吊坠
Moon	皎洁之月
Sun	永恒之日
PeriaptofRedGiantStar	红巨星之护身符
PeriaptofBlueGiantStar	蓝巨星之护身符
GMGiantStar	GM护身符
Leo	狮子座指环
Aquarius	水瓶座指环
Taurus	金牛座指环
Sagittarius	射手座指环
Libra	天平座指环
Scorpio	天蝎座指环
Capricorn	魔羯座指环
Gemini	双子座指环
Virgo	处女座指环
RingofRedGiantStar	红巨星之生命戒指
RingofBlueGiantStar	蓝巨星之梦幻戒指
GMRing	GM戒指
Maid	女仆装
PumpkinHead	南瓜头
MoonCake1	冰皮月饼残片
MoonCake2	果蔬月饼残片
MoonCake3	茶叶月饼残片
MoonCake4	水晶月饼残片
MoonCake5	红豆月饼残片
MoonCake6	红果月饼残片
MoonCake7	冰皮月饼
MoonCake8	果蔬月饼
MoonCake9	茶叶月饼
MoonCake10	水晶月饼
MoonCake11	红豆月饼
MoonCake12	红果月饼
Chip1	斯巴达的筹码
Chip2	雅典的筹码
HPPotion_a	红药水(小)
HPPotion_b	红药水(轻)
HPPotion_c	红药水(普通)
HPPotion_d	红药水(高级)
HPPotion_x	生命之泉水
HPPotion_y	生命之神水
HPPotion_z	GM神水
MPPotion_a	蓝药水(小)
MPPotion_b	蓝药水(轻)
MPPotion_c	蓝药水(普通)
MPPotion_d	蓝药水(高级)
MPPotion_x	魔力之泉水
MPPotion_y	魔力之神水
GuildStone	天堂之令
Chattool1	金色的鸢尾花
Storage1	仓库开启石
Bag1	包裹开启石
AddLevel1	酒神的佳酿
Ghost1	禁锢之颅
Ghost2	生命符记
Ghost3	被禁锢的战场亡灵
Ghost4	祈祷之光
ChatBubble1	聊天泡泡:红
ChatBubble2	聊天泡泡:蓝
AstrictPK1	神圣的橄榄枝
HideCamp1	赫尔墨斯头巾
HideID1	月神的丝柏树叶
Money1	小型钱袋
Money2	中型钱袋
Money3	大型钱袋
Money4	超大型钱袋
Stone1	小型金袋
Stone2	中型金袋
Stone3	大型金袋
Stone4	超大型金袋
AddEXP1	微型经验石
AddEXP2	小型经验石
AddEXP3	中型经验石
AddEXP4	大型经验石
SkillEXP1	微型技能石
SkillEXP2	小型技能石
SkillEXP3	中型技能石
SkillEXP4	大型技能石
Glory1	I级勋章
Glory2	II级勋章
Glory3	III级勋章
Glory4	IV级勋章
MaterialID1	一级红宝石
MaterialID2	二级红宝石
MaterialID3	三级红宝石
MaterialBase1	一级蓝宝石
MaterialBase2	二级蓝宝石
MaterialBase3	三级蓝宝石
MaterialAppend1	一级绿宝石
MaterialAppend2	二级绿宝石
MaterialAppend3	三级绿宝石
MaterialOdds1	一级水晶
MaterialOdds2	二级水晶
MaterialOdds3	三级水晶
MaterialFlee1	幸运铜币
MaterialFlee2	幸运银币
MaterialFlee3	幸运金币
FlyBook1	雅典城传送卷
FlyBook2	雅典近郊传送卷
FlyBook3	马拉松传送卷
FlyBook4	布拉底亚传送卷
FlyBook5	斯巴达城传送卷
FlyBook6	斯巴达郊外传送卷
FlyBook7	伯罗奔尼萨传送卷
FlyBook8	德尔韦尼传送卷
FlyBook11	神秘的帕尼萨传送卷
FlyBook12	神秘的迈加拉海岸传送卷
FlyBook13	神秘的科林斯地峡传送卷
FlyBook14	神秘的阿格利斯传送卷
FlyBook15	神秘的尼米亚传送卷
FlyBook16	神秘的德尔韦尼传送卷
FlyBook17	神秘的布拉底亚传送卷
FlyBook9	赫尔墨斯之石
GuildMoney1	公会银符
GuildStone1	公会金符
GuildGlory1	公会勋章
Hairstyle1	漂亮的假发
Haircolor1	染发剂:银
GoldBox1	生锈的沉重铁箱
GoldBox2	精巧的沉重铁箱
GoldBox3	古朴的沉重铁箱
GoldBox4	稀有的沉重铁箱
GoldBox5	沉重铁箱
GoldBox6	生锈的米诺斯宝藏
GoldBox7	精巧的米诺斯宝藏
GoldBox8	古朴的米诺斯宝藏
GoldBox9	稀有的米诺斯宝藏
GoldBox10	米诺斯宝藏
GoldBox11	生锈的潘多拉魔盒
GoldBox12	精巧的潘多拉魔盒
GoldBox13	古朴的潘多拉魔盒
GoldBox14	稀有的潘多拉魔盒
GoldBox15	潘多拉魔盒
GoldKey1	铁箱的钥匙
GoldKey2	米诺斯的钥匙
GoldKey3	潘多拉的钥匙
EXPGet1	经验药剂
AutoItem1	回复药剂
AutoItem2	神恩药剂
QuestScoll1	俄瑞斯忒斯的请求
QuestScoll2	俄瑞斯忒斯的怒火
QuestScoll3	喀戎的请求
QuestScoll4	喀戎的怒火
QuestS1	雅典人的神秘图纸［一］
QuestS2	雅典人的神秘图纸［二］
QuestS3	雅典人的神秘图纸［三］
QuestS4	雅典人的神秘图纸［四］
QuestS5	雅典人的神秘图纸［五］
QuestS6	雅典人的神秘图纸［六］
QuestS7	雅典人的神秘图纸［七］
QuestS8	雅典人的神秘图纸［八］
QuestS9	雅典人的神秘图纸［九］
QuestS10	雅典人的神秘图纸［十］
QuestS11	雅典人的神秘图纸［1］
QuestS12	雅典人的神秘图纸［2］
QuestS13	雅典人的神秘图纸［3］
QuestS14	雅典人的神秘图纸［4］
QuestS15	雅典人的神秘图纸［5］
QuestS101	斯巴达人的神秘羊皮卷［一］
QuestS102	斯巴达人的神秘羊皮卷［二］
QuestS103	斯巴达人的神秘羊皮卷［三］
QuestS104	斯巴达人的神秘羊皮卷［四］
QuestS105	斯巴达人的神秘羊皮卷［五］
QuestS106	斯巴达人的神秘羊皮卷［六］
QuestS107	斯巴达人的神秘羊皮卷［七］
QuestS108	斯巴达人的神秘羊皮卷［八］
QuestS109	斯巴达人的神秘羊皮卷［九］
QuestS110	斯巴达人的神秘羊皮卷［十］
QuestS111	斯巴达人的神秘羊皮卷［1］
QuestS112	斯巴达人的神秘羊皮卷［2］
QuestS113	斯巴达人的神秘羊皮卷［3］
QuestS114	斯巴达人的神秘羊皮卷［4］
QuestS115	斯巴达人的神秘羊皮卷［5］
QuestS16	丰收女神的馈赠(1)
QuestS17	丰收女神的馈赠(2)
QuestS18	丰收女神的馈赠(3)
QuestS19	丰收女神的馈赠(4)
QuestS20	丰收女神的馈赠(5)
QuestS21	丰收女神的馈赠(6)
QuestS22	丰收女神的馈赠(7)
QuestS23	丰收女神的馈赠(8)
QuestS24	丰收女神的馈赠(9)
QuestS25	丰收女神的馈赠(10)
QuestS116	商旅神使的馈赠(1)
QuestS117	商旅神使的馈赠(2)
QuestS118	商旅神使的馈赠(3)
QuestS119	商旅神使的馈赠(4)
QuestS120	商旅神使的馈赠(5)
QuestS121	商旅神使的馈赠(6)
QuestS122	商旅神使的馈赠(7)
QuestS123	商旅神使的馈赠(8)
QuestS124	商旅神使的馈赠(9)
QuestS125	商旅神使的馈赠(10)
SkillBook1	书籍:中级光斩
SkillBook2	书籍:高级光斩
SkillBook3	书籍:大师级光斩
SkillBook10	书籍:初级旋风斩
SkillBook11	书籍:中级旋风斩
SkillBook12	书籍:高级旋风斩
SkillBook13	书籍:大师级旋风斩
SkillBook20	书籍:初级旋光斩
SkillBook21	书籍:中级旋光斩
SkillBook22	书籍:高级旋光斩
SkillBook23	书籍:大师级旋光斩
SkillBook30	书籍:初级剑刃风暴
SkillBook31	书籍:中级剑刃风暴
SkillBook32	书籍:高级剑刃风暴
SkillBook33	书籍:大师级剑刃风暴
SkillBook40	书籍:初级剑雨
SkillBook41	书籍:中级剑雨
SkillBook42	书籍:高级剑雨
SkillBook43	书籍:大师级剑雨
SkillBook50	书籍:初级血爪
SkillBook51	书籍:中级血爪
SkillBook52	书籍:高级血爪
SkillBook53	书籍:大师级血爪
SkillBook60	书籍:初级狂暴血爪
SkillBook61	书籍:中级狂暴血爪
SkillBook62	书籍:高级狂暴血爪
SkillBook63	书籍:大师级狂暴血爪
SkillBook70	书籍:初级击晕
SkillBook71	书籍:中级击晕
SkillBook72	书籍:高级击晕
SkillBook73	书籍:大师级击晕
SkillBook74	书籍:宗师级击晕
SkillBook80	书籍:初级破甲术
SkillBook81	书籍:中级破甲术
SkillBook82	书籍:高级破甲术
SkillBook83	书籍:大师级破甲术
SkillBook84	书籍:宗师级破甲术
SkillBook90	书籍:初级神谕护盾
SkillBook91	书籍:中级神谕护盾
SkillBook92	书籍:高级神谕护盾
SkillBook93	书籍:大师级神谕护盾
SkillBook94	书籍:宗师级神谕护盾
SkillBook251	书籍:中级突刺
SkillBook252	书籍:高级突刺
SkillBook253	书籍:大师级突刺
SkillBook260	书籍:初级圣光突刺
SkillBook261	书籍:中级圣光突刺
SkillBook262	书籍:高级圣光突刺
SkillBook263	书籍:大师级圣光突刺
SkillBook270	书籍:初级三重刺
SkillBook271	书籍:中级三重刺
SkillBook272	书籍:高级三重刺
SkillBook273	书籍:大师级三重刺
SkillBook280	书籍:初级怒枪
SkillBook281	书籍:中级怒枪
SkillBook282	书籍:高级怒枪
SkillBook283	书籍:大师级怒枪
SkillBook290	书籍:初级千枪决
SkillBook291	书籍:中级千枪决
SkillBook292	书籍:高级千枪决
SkillBook293	书籍:大师级千枪决
SkillBook300	书籍:初级横扫千军
SkillBook301	书籍:中级横扫千军
SkillBook302	书籍:高级横扫千军
SkillBook303	书籍:大师级横扫千军
SkillBook310	书籍:初级碎裂阵
SkillBook311	书籍:中级碎裂阵
SkillBook312	书籍:高级碎裂阵
SkillBook313	书籍:大师级碎裂阵
SkillBook320	书籍:初级爆裂枪
SkillBook321	书籍:中级爆裂枪
SkillBook322	书籍:高级爆裂枪
SkillBook323	书籍:大师级爆裂枪
SkillBook330	书籍:初级流星刺
SkillBook331	书籍:中级流星刺
SkillBook332	书籍:高级流星刺
SkillBook333	书籍:大师级流星刺
SkillBook340	书籍:初级狂热
SkillBook341	书籍:中级狂热
SkillBook342	书籍:高级狂热
SkillBook343	书籍:大师级狂热
SkillBook344	书籍:宗师级狂热
SkillBook350	书籍:初级定身术
SkillBook351	书籍:中级定身术
SkillBook352	书籍:高级定身术
SkillBook353	书籍:大师级定身术
SkillBook354	书籍:宗师级定身术
SkillBook501	书籍:中级火球
SkillBook502	书籍:高级火球
SkillBook503	书籍:大师级火球
SkillBook510	书籍:初级光球
SkillBook511	书籍:中级光球
SkillBook512	书籍:高级光球
SkillBook513	书籍:大师级光球
SkillBook520	书籍:初级光刃
SkillBook521	书籍:中级光刃
SkillBook522	书籍:高级光刃
SkillBook523	书籍:大师级光刃
SkillBook530	书籍:初级落雷
SkillBook531	书籍:中级落雷
SkillBook532	书籍:高级落雷
SkillBook533	书籍:大师级落雷
SkillBook540	书籍:初级火莲
SkillBook541	书籍:中级火莲
SkillBook542	书籍:高级火莲
SkillBook543	书籍:大师级火莲
SkillBook550	书籍:初级流星雨
SkillBook551	书籍:中级流星雨
SkillBook552	书籍:高级流星雨
SkillBook553	书籍:大师级流星雨
SkillBook560	书籍:初级雷云风暴
SkillBook561	书籍:中级雷云风暴
SkillBook562	书籍:高级雷云风暴
SkillBook563	书籍:大师级雷云风暴
SkillBook570	书籍:初级炎域
SkillBook571	书籍:中级炎域
SkillBook572	书籍:高级炎域
SkillBook573	书籍:大师级炎域
SkillBook574	书籍:宗师级炎域
SkillBook580	书籍:初级爆炎术
SkillBook581	书籍:中级爆炎术
SkillBook582	书籍:高级爆炎术
SkillBook583	书籍:大师级爆炎术
SkillBook584	书籍:宗师级爆炎术
SkillBook590	书籍:初级五星护阵
SkillBook591	书籍:中级五星护阵
SkillBook592	书籍:高级五星护阵
SkillBook593	书籍:大师级五星护阵
SkillBook594	书籍:宗师级五星护阵
SkillBook600	书籍:初级禁魔术
SkillBook601	书籍:中级禁魔术
SkillBook602	书籍:高级禁魔术
SkillBook750	书籍:初级回春术
SkillBook751	书籍:中级回春术
SkillBook752	书籍:高级回春术
SkillBook753	书籍:大师级回春术
SkillBook754	书籍:宗师级回春术
SkillBook760	书籍:初级群疗术
SkillBook761	书籍:中级群疗术
SkillBook762	书籍:高级群疗术
SkillBook763	书籍:大师级群疗术
SkillBook764	书籍:宗师级群疗术
SkillBook770	书籍:初级地母附体
SkillBook771	书籍:中级地母附体
SkillBook772	书籍:高级地母附体
SkillBook773	书籍:大师级地母附体
SkillBook774	书籍:宗师级地母附体
SkillBook780	书籍:初级魔法盾
SkillBook781	书籍:中级魔法盾
SkillBook782	书籍:高级魔法盾
SkillBook783	书籍:大师级魔法盾
SkillBook784	书籍:宗师级魔法盾
SkillBook790	书籍:初级风缚
SkillBook791	书籍:中级风缚
SkillBook792	书籍:高级风缚
SkillBook801	书籍:中级冰箭
SkillBook802	书籍:高级冰箭
SkillBook803	书籍:大师级冰箭
SkillBook810	书籍:初级风刃
SkillBook811	书籍:中级风刃
SkillBook812	书籍:高级风刃
SkillBook813	书籍:大师级风刃
SkillBook820	书籍:初级冰锥
SkillBook821	书籍:中级冰锥
SkillBook822	书籍:高级冰锥
SkillBook823	书籍:大师级冰锥
SkillBook830	书籍:初级石笋
SkillBook831	书籍:中级石笋
SkillBook832	书籍:高级石笋
SkillBook833	书籍:大师级石笋
SkillBook840	书籍:初级圣光术
SkillBook841	书籍:中级圣光术
SkillBook842	书籍:高级圣光术
SkillBook843	书籍:大师级圣光术
SkillBook850	书籍:初级千针石林
SkillBook851	书籍:中级千针石林
SkillBook852	书籍:高级千针石林
SkillBook853	书籍:大师级千针石林
SkillBook860	书籍:初级三元咒
SkillBook861	书籍:中级三元咒
SkillBook862	书籍:高级三元咒
SkillBook863	书籍:大师级三元咒
SkillBook3060	书籍:雅典回城术
SkillBook3062	书籍:斯巴达回城术
